,vaccinated,state
2021-06-27,7412252.0,Alabama
2021-04-27,1101991.0,Alaska
2021-07-10,11090272.0,Arizona
2021-06-12,4652612.0,Arkansas
2021-07-02,8655273.0,Colorado
2021-06-17,5434572.0,Connecticut
2021-05-06,1464203.0,Delaware
2021-04-26,1067617.0,District of Columbia
2021-08-14,32760076.0,Florida
2021-07-22,16081021.0,Georgia
2021-05-18,2133924.0,Hawaii
2021-05-26,2740126.0,Idaho
2021-07-28,19362342.0,Illinois
2021-07-07,10105968.0,Indiana
2021-06-13,4799492.0,Iowa
2021-06-10,4372125.0,Kansas
2021-06-24,6753572.0,Kentucky
2021-06-26,7185874.0,Louisiana
2021-05-17,2068150.0,Maine
2021-07-04,9208806.0,Maryland
2021-07-08,10423985.0,Massachusetts
2021-07-20,15115646.0,Michigan
2021-07-02,8655273.0,Minnesota
2021-06-11,4510202.0,Mississippi
2021-07-04,9208806.0,Missouri
2021-05-09,1609119.0,Montana
2021-05-28,2916576.0,Nebraska
2021-06-12,4652612.0,Nevada
2021-05-17,2068150.0,New Hampshire
2021-07-16,13354988.0,New Jersey
2021-05-31,3202563.0,New Mexico
2021-08-11,29857294.0,New York
2021-07-22,16081021.0,North Carolina
2021-04-29,1174011.0,North Dakota
2021-07-25,17645692.0,Ohio
2021-06-20,5965137.0,Oklahoma
2021-06-22,6347177.0,Oregon
2021-07-28,19362342.0,Pennsylvania
2021-05-09,1609119.0,Rhode Island
2021-06-29,7886545.0,South Carolina
2021-05-03,1332117.0,South Dakota
2021-07-08,10423985.0,Tennessee
2021-06-14,4950980.0,Utah
2021-04-22,940263.0,Vermont
2021-07-15,12947789.0,Virginia
2021-07-11,11439179.0,Washington
2021-05-26,2740126.0,West Virginia
2021-07-03,8927764.0,Wisconsin
2021-04-20,882251.0,Wyoming
